order_id,item_id,datetime_picked,picker_id,warehouse_id,bin_id
ORD000001,SKU00253,2025-09-23T14:05:25,PICKER006,W01,W01-A06-S011
ORD000001,SKU00047,2025-09-23T14:05:46,PICKER006,W01,W01-A07-S001
ORD000001,SKU00075,2025-09-23T14:06:19,PICKER006,W01,W01-A12-S011
ORD000002,SKU00001,2025-09-10T22:03:21,PICKER023,W02,W02-A03-S008
ORD000002,SKU00001,2025-09-10T22:03:29,PICKER023,W02,W02-A03-S008
ORD000002,SKU00007,2025-09-10T22:03:45,PICKER023,W02,W02-A03-S003
ORD000002,SKU00361,2025-09-10T22:03:55,PICKER023,W02,W02-A04-S002
ORD000002,SKU00001,2025-09-10T22:04:10,PICKER023,W02,W02-A03-S008
ORD000002,SKU00004,2025-09-10T22:04:31,PICKER023,W02,W02-A06-S001
ORD000002,SKU00003,2025-09-10T22:04:48,PICKER023,W02,W02-A06-S016
ORD000002,SKU00004,2025-09-10T22:05:05,PICKER023,W02,W02-A06-S001
ORD000003,SKU00010,2025-09-06T13:21:33,PICKER059,W01,W01-A09-S017
ORD000004,SKU00002,2025-09-04T20:56:16,PICKER054,W01,W01-A01-S013
ORD000004,SKU00002,2025-09-04T20:56:36,PICKER054,W01,W01-A01-S013
ORD000005,SKU00656,2025-09-18T12:12:37,PICKER046,W01,W01-A09-S016
ORD000005,SKU00444,2025-09-18T12:12:51,PICKER046,W01,W01-A07-S011
ORD000006,SKU00001,2025-09-17T14:13:19,PICKER014,W02,W02-A03-S008
ORD000006,SKU00137,2025-09-17T14:13:37,PICKER014,W02,W02-A07-S003
ORD000007,SKU00002,2025-09-16T14:12:19,PICKER038,W01,W01-A01-S013
ORD000007,SKU00146,2025-09-16T14:12:41,PICKER038,W01,W01-A07-S016
ORD000007,SKU00015,2025-09-16T14:12:57,PICKER038,W01,W01-A05-S020
ORD000008,SKU00001,2025-09-23T22:14:19,PICKER007,W02,W02-A03-S008
ORD000008,SKU00001,2025-09-23T22:14:26,PICKER007,W02,W02-A03-S008
ORD000008,SKU00001,2025-09-23T22:14:41,PICKER007,W02,W02-A03-S008
ORD000008,SKU00001,2025-09-23T22:14:47,PICKER007,W02,W02-A03-S008
ORD000008,SKU00040,2025-09-23T22:15:15,PICKER007,W02,W02-A01-S023
ORD000008,SKU00006,2025-09-23T22:15:24,PICKER007,W02,W02-A03-S022
ORD000008,SKU00388,2025-09-23T22:15:37,PICKER007,W02,W02-A07-S021
ORD000009,SKU00008,2025-09-25T13:18:33,PICKER021,W02,W02-A12-S005
ORD000010,SKU00445,2025-09-04T21:07:23,PICKER022,W01,W01-A03-S014
ORD000011,SKU00002,2025-09-05T22:45:15,PICKER034,W01,W01-A01-S013
ORD000012,SKU00010,2025-09-26T22:57:43,PICKER037,W01,W01-A09-S017
ORD000013,SKU00001,2025-09-23T21:40:14,PICKER050,W02,W02-A03-S008
ORD000013,SKU00305,2025-09-23T21:40:33,PICKER050,W02,W02-A01-S005
ORD000013,SKU00007,2025-09-23T21:40:48,PICKER050,W02,W02-A03-S003
ORD000013,SKU00003,2025-09-23T21:41:12,PICKER050,W02,W02-A06-S016
ORD000014,SKU00022,2025-09-23T20:00:32,PICKER004,W01,W01-A05-S013
ORD000014,SKU00002,2025-09-23T20:00:53,PICKER004,W01,W01-A01-S013
ORD000014,SKU00316,2025-09-23T20:01:04,PICKER004,W01,W01-A02-S011
ORD000015,SKU00309,2025-09-22T21:22:25,PICKER028,W01,W01-A02-S013
ORD000016,SKU00007,2025-09-18T21:34:14,PICKER040,W02,W02-A03-S003
ORD000017,SKU00720,2025-09-06T12:54:38,PICKER051,W02,W02-A12-S007
ORD000017,SKU00223,2025-09-06T12:55:15,PICKER051,W02,W02-A04-S024
ORD000017,SKU00055,2025-09-06T12:55:38,PICKER051,W02,W02-A02-S016
ORD000017,SKU00006,2025-09-06T12:55:55,PICKER051,W02,W02-A03-S022
ORD000018,SKU00043,2025-09-17T22:10:27,PICKER054,W02,W02-A03-S014
ORD000019,SKU00027,2025-09-25T12:35:35,PICKER055,W01,W01-A09-S017
ORD000019,SKU00028,2025-09-25T12:36:02,PICKER055,W01,W01-A07-S025
ORD000019,SKU00005,2025-09-25T12:36:17,PICKER055,W01,W01-A05-S015
ORD000020,SKU00002,2025-09-21T22:13:19,PICKER055,W01,W01-A01-S013
ORD000020,SKU00002,2025-09-21T22:13:27,PICKER055,W01,W01-A01-S013
ORD000020,SKU00271,2025-09-21T22:13:57,PICKER055,W01,W01-A10-S020
ORD000021,SKU00590,2025-09-08T21:33:39,PICKER045,W01,W01-A09-S020
ORD000022,SKU00001,2025-09-25T21:00:17,PICKER024,W02,W02-A03-S008
ORD000022,SKU00008,2025-09-25T21:00:42,PICKER024,W02,W02-A12-S005
ORD000022,SKU00021,2025-09-25T21:01:04,PICKER024,W02,W02-A09-S015
ORD000022,SKU00003,2025-09-25T21:01:25,PICKER024,W02,W02-A06-S016
ORD000022,SKU00006,2025-09-25T21:01:47,PICKER024,W02,W02-A03-S022
ORD000022,SKU00185,2025-09-25T21:02:02,PICKER024,W02,W02-A05-S018
